William,Shakespeare,"William Shakespeare (/??e?ksp??r/;[1] 26 April 1564 (baptised)�� 23 April 1616)[nb 1] was an English poet, playwright, and actor, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist.[2] He is often called England's national poet, and the ""Bard of Avon"".[3][nb 2] His extant works, including collaborations, consist of approximately 38 plays,[nb 3] 154 sonnets, two long narrative poems, and a few other verses, some of uncertain authorship. His plays have been translated into every major living language and are performed more often than those of any other playwright.[4]"
Agatha,Christie,"Dame Agatha Mary Clarissa Christie, Lady Mallowan, DBE (n�e Miller; 15 September 1890�� 12 January 1976) was an English crime novelist, short story writer and playwright. She also wrote six romances under the name Mary Westmacott including Giant's Bread, but she is best known for the 66 detective novels and 14 short story collections that she wrote under her own name, most of which revolve around the investigative work of such characters as Hercule Poirot, Jane Marple, Parker Pyne, Harley Quin/Mr Satterthwaite and Tommy and Tuppence Beresford. She wrote the world's longest-running play, a murder mystery, The Mousetrap.[1] In 1971 she was made a Dame for her contribution to literature. "
Barbara,Cartland,"Dame Barbara Cartland, DBE, CStJ (9 July 1901�� 21 May 2000), born Mary Barbara Hamilton, was an English author of romance novels, who was one of the best-selling authors as well as one of the most prolific and commercially successful of the twentieth century. Her 723 novels were translated into 38 different languages, and she continues to be referenced in the Guinness World Records for the most novels published in a single year in 1976.[1] As Barbara Cartland she is known for her numerous romantic novels, but she also wrote under her married name of Barbara McCorquodale.[2] She wrote more than 700 books,[3] as well as plays, music, verse, drama, magazine articles and operetta, and was a prominent philanthropist. She reportedly sold more than 750 million copies.[3] Other sources estimate her book sales at more than two billion copies.[4] She specialised in 19th-century Victorian era pure romance. Her novels all featured portrait-style artwork, particularly the cover art."
Danielle,Steel,"Danielle Fernandes Dominique Schuelein-Steel (born August 14, 1947), better known by the name Danielle Steel, is an American novelist, currently the best selling author alive and the fourth bestselling author of all time, with over 800�million copies sold. Based in California for most of her career, Steel has produced several books a year, often juggling up to five projects at once. All her novels have been bestsellers, including those issued in hardback[citation needed]. Her formula is fairly consistent, often involving rich families facing a crisis, threatened by dark elements such as jail, fraud, blackmail and suicide. Steel has also published children's fiction and poetry, as well as raising funds for the treatment of mental disorders. Her books have been translated into 28 languages, with 22 adapted for television, including two that have received Golden Globe nominations."
Harold,Robbins,"Harold Robbins (May 21, 1916 � October 14, 1997) was an American author of popular novels. One of the best-selling writers of all time, he penned over 25 best-sellers, selling over 750 million copies in 32 languages."
Georges,Simenon,"Georges Joseph Christian Simenon (French:�[???? simn??]; 13 February 1903 � 4 September 1989) was a Belgian writer. A prolific author who published nearly 500 novels and numerous short works, Simenon is best known as the creator of the fictional detective Jules Maigret. "
Sidney,Sheldon,"He came to prominence in the 1930s, first working on Broadway plays and then in motion pictures, notably writing the successful comedy The Bachelor and the Bobby Soxer (1947) which earned him an Academy Award. He went on to work in television, where his works spanned a 20-year period during which he created The Patty Duke Show (1963�66), I Dream of Jeannie (1965�70) and Hart to Hart (1979�84). He became most famous after he turned 50 and began writing best-selling romantic suspense novels, such as Master of the Game (1982), The Other Side of Midnight (1973) and Rage of Angels (1980). He is the seventh best selling fiction writer of all time. "
Enid,Blyton,"Enid Mary Blyton (11 August 1897�� 28 November 1968) was an English children's writer whose books have been among the world's best-sellers since the 1930s, selling more than 600 million copies. Blyton's books are still enormously popular, and have been translated into almost 90 languages; her first book, Child Whispers, a 24-page collection of poems, was published in 1922. She wrote on a wide range of topics including education, natural history, fantasy, mystery, and biblical narratives and is best remembered today for her Noddy, Famous Five, Secret Seven, and Adventure series."
Dr.,Seuss,"Theodor Seuss Geisel (/?s??s/  i/??a?z?l/; March 2, 1904�� September 24, 1991) was an American writer and illustrator best known for authoring popular children's books under the pen name Dr. Seuss (/su?s/). His work includes several of the most popular children's books of all time, selling over 600 million copies and being translated into more than 20 languages by the time of his death. "
Gilbert,Patten,"William George ""Gilbert"" Patten (October 25, 1866 � January 16, 1945) was a writer of dime novels and is best known as author of the Frank Merriwell stories, with the pen name Burt L. Standish."
J.K.,Rowling,"Joanne ""Jo"" Rowling, OBE, FRSL (/?ro?l??/; born 31 July 1965), pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. The books have gained worldwide attention, won multiple awards, and sold more than 400�million copies.[1] They have become the best-selling book series in history[2] and been the basis for a series of films which is the second highest-grossing film series in history.[3] Rowling had overall approval on the scripts[4] and maintained creative control by serving as a producer on the final instalment. "
Leo,Tolstoy,"Count Lev Nikolayevich Tolstoy (/?to?lst??, ?t?l-/;[1] Russian: ??? ??????????? ????????, pronounced�[l??f n??k??la?v??t? t?l?stoj]�(  listen); 9 September�[O.S. 28 August]�1828 � 20 November�[O.S. 7 November]�1910), usually referred to in English as Leo Tolstoy, was a Russian writer who is regarded as one of the greatest authors of all time."
Corín,Tellado,"Mar�a del Socorro Tellado L�pez (April 25, 1927, El Franco, Asturias � April 11, 2009), known as Cor�n Tellado, was a prolific Spanish writer of romantic novels and photonovels that were best-sellers in several Spanish-language countries. She published more than 5,000 titles and sold more than 400-million books which have been translated into several languages. She was listed in the 1994 Guinness World Records as having sold the most books written in Spanish, and earlier in 1964 UNESCO declared her the most read Spanish writer after Miguel de Cervantes."
Jackie,Collins,"Jacqueline Jill ""Jackie"" Collins OBE (4 October 1937 � 19 September 2015) was an English Romance novelist. She moved to Los Angeles in the 1960s, became a U.S. citizen, and spent most of her career there.[1][2] She wrote 32 novels, all of which appeared on The New York Timesbestsellers list.[3] In total, her books have sold over 500 million copies and have been translated into 40 languages.[4][5] Eight of her novels have been adapted for the screen, either as films or television mini-series. She was the younger sister of actress Joan Collins."
Horatio,Alger,"Horatio Alger Jr. (/?�ld??r/; January 13, 1832 � July 18, 1899) was a prolific 19th-century American author, best known for his many young-adult fiction novels about impoverished boys and their rise from humble backgrounds to lives of middle-class security and comfort through hard work, determination, courage, and honesty. His writings were characterized by the ""rags to riches"" narrative, which had a formative effect on America during the Gilded Age."
R.L.,Stine,"Robert Lawrence Stine (born October 8, 1943),[1] sometimes known as Jovial Bob Stine and Eric Affabee, is an American novelist, short story writer, television producer, screenwriter, and executive editor. He has been referred to as the ""Stephen King of children's literature""[2] and is the author of hundreds of horror fiction novels, including the books in the Fear Street, Goosebumps, Rotten School, Mostly Ghostly, and The Nightmare Room series. Some of his other works include a Space Cadets trilogy, two Hark gamebooks, and dozens of joke books. As of 2008, Stine's books have sold over 400 million copies."
Dean,Koontz,"Dean Ray Koontz (born July 9, 1945) is an American author. His novels are broadly described as suspense thrillers, but also frequently incorporate elements of horror, fantasy, science fiction, mystery, and satire. Many of his books have appeared on the New York TimesBestseller List, with 14 hardcovers[1] and 14 paperbacks reaching the number one position.[2] Koontz wrote under a number of pen names earlier in his career, including ""David Axton"", ""Leigh Nichols"" and ""Brian Coffey"". He has sold over 450�million copies as reported on his official website."
Nora,Roberts,"Nora Roberts (born Eleanor Marie Robertson on October 10, 1950) is an American bestselling author of more than 209 romance novels.[1] She writes as J. D. Robb for the in Death series, and has also written under the pseudonyms Jill March and for publications in the U.K. as Sarah Hardesty."
Alexander,Pushkin,"Alexander Sergeyevich Pushkin (/?p??k?n/;[1] Russian: ?????????? ?????????? ???????, tr. Aleksandr Sergeyevich Pushkin; IPA:�[?l???ksandr s???r??ej?v??t? ?pu?k??n]�(  listen); 6�June�[O.S. 26 May]�1799�� 10 February�[O.S. 29 January]�1837) was a Russian poet, playwright, and novelist of the Romantic era[2] who is considered by many to be the greatest Russian poet[3][4][5][6] and the founder of modern Russian literature.[7][8]"
Stephen,King,"Stephen Edwin King (born September 21, 1947) is an American author of contemporary horror, supernatural fiction, suspense, science fiction, and fantasy. His books have sold more than 350 million copies,[2] many of which have been adapted into feature films, miniseries, television shows, and comic books. King has published 54 novels, including seven under the pen name Richard Bachman, and six non-fiction books. He has written nearly 200 short stories, most of which have been collected in book collections. Many of his stories are set in his home state of Maine. His novella Rita Hayworth and Shawshank Redemption was the basis for the movie The Shawshank Redemption which is widely regarded as one of the greatest films of all time"
Louis,L'Amour,"Louis Dearborn L'Amour (/?lu?i l??m?r/; 22 March 1908 � 10 June 1988) was an American novelist and short story writer. His books consisted primarily of Western novels (though he called his work 'frontier stories'); however, he also wrote historical fiction (The Walking Drum), science fiction (The Haunted Mesa), nonfiction (Frontier), as well as poetry and short-story collections. Many of his stories were made into movies. L'Amour's books remain popular and most have gone through multiple printings. At the time of his death almost all of his 105 existing works (89 novels, 14 short-story collections, and two full-length works of nonfiction) were still in print, and he was considered ""one of the world's most popular writers"
